City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cabo San Lucas,22.89,-109.91,84.99,66,20,5.82,MX,2020-09-05 15:13:56
1,Kenai,60.55,-151.26,35.6,86,1,2.8,US,2020-09-05 15:13:56
2,Bengkulu,-3.8,102.27,77.05,88,97,2.89,ID,2020-09-05 15:12:05
3,Gamba,-2.65,10.0,76.12,75,96,8.16,GA,2020-09-05 15:13:57
4,Albany,42.6,-73.97,69.01,50,0,5.5,US,2020-09-05 15:13:57
5,Luderitz,-26.65,15.16,64.2,56,0,29.19,NA,2020-09-05 15:13:57
6,Bredasdorp,-34.53,20.04,55.4,87,100,11.41,ZA,2020-09-05 15:13:57
7,Barrow,71.29,-156.79,37.4,93,90,4.7,US,2020-09-05 15:13:58
8,Abu Kamal,34.45,40.92,102.85,8,0,5.57,SY,2020-09-05 15:13:58
9,Nikolskoye,59.7,30.79,66.2,63,75,11.18,RU,2020-09-05 15:13:58
10,Eureka,40.8,-124.16,53.01,100,0,4.07,US,2020-09-05 15:10:48
11,Puerto Ayora,-0.74,-90.35,69.01,88,98,5.99,EC,2020-09-05 15:13:59
12,Rikitea,-23.12,-134.97,71.49,81,4,17.22,PF,2020-09-05 15:10:43
13,Caravelas,-17.71,-39.25,80.78,60,32,7.2,BR,2020-09-05 15:13:59
14,Busselton,-33.65,115.33,62.01,71,66,18.99,AU,2020-09-05 15:13:59
15,Aklavik,68.22,-135.01,32.0,85,90,5.82,CA,2020-09-05 15:14:00
16,Tura,25.52,90.22,76.08,91,9,3.04,IN,2020-09-05 15:14:00
17,Avarua,-21.21,-159.78,73.4,88,100,9.17,CK,2020-09-05 15:14:00
18,Soe,-9.86,124.28,63.57,99,60,5.08,ID,2020-09-05 15:12:42
19,Hobart,-42.88,147.33,48.99,70,75,6.93,AU,2020-09-05 15:12:02
20,Cape Town,-33.93,18.42,57.99,87,40,14.99,ZA,2020-09-05 15:14:01
21,Launceston,-41.45,147.17,43.0,93,0,11.41,AU,2020-09-05 15:14:01
22,Jamestown,42.1,-79.24,68.0,82,90,8.05,US,2020-09-05 15:14:01
23,Klaksvik,62.23,-6.59,46.4,87,100,19.46,FO,2020-09-05 15:14:02
24,Ribeira Grande,38.52,-28.7,75.2,53,40,19.46,PT,2020-09-05 15:14:02
25,Atuona,-9.8,-139.03,79.14,74,14,20.87,PF,2020-09-05 15:10:43
26,College,64.86,-147.8,44.01,93,90,3.36,US,2020-09-05 15:14:03
27,New Norfolk,-42.78,147.06,48.99,71,38,1.99,AU,2020-09-05 15:14:03
28,Jalu,29.03,21.55,99.86,14,0,18.52,LY,2020-09-05 15:14:03
29,Elizabeth City,36.29,-76.25,82.4,51,1,17.22,US,2020-09-05 15:14:03
30,Moindou,-21.69,165.68,64.4,77,90,5.82,NC,2020-09-05 15:14:04
31,Yumen,40.28,97.2,68.27,29,77,2.17,CN,2020-09-05 15:14:04
32,Hami,42.8,93.45,79.14,22,0,15.93,CN,2020-09-05 15:10:24
33,Ushuaia,-54.8,-68.3,39.2,74,90,11.41,AR,2020-09-05 15:14:04
34,Labuhan,-6.88,112.21,79.38,73,9,5.77,ID,2020-09-05 15:14:05
35,Mehamn,71.04,27.85,59.04,68,69,14.47,NO,2020-09-05 15:14:05
36,Hilo,19.73,-155.09,73.4,83,90,4.7,US,2020-09-05 15:10:42
37,Leon Valley,29.5,-98.62,81.0,78,75,3.36,US,2020-09-05 15:14:06
38,Kaitangata,-46.28,169.85,44.01,80,67,1.01,NZ,2020-09-05 15:14:06
39,Bluff,-46.6,168.33,45.0,72,71,11.01,NZ,2020-09-05 15:14:06
40,Punta Arenas,-53.15,-70.92,37.4,86,75,14.99,CL,2020-09-05 15:09:45
41,Norman,35.22,-97.44,81.0,78,1,5.82,US,2020-09-05 15:14:06
42,Pangody,65.85,74.49,45.5,69,0,16.15,RU,2020-09-05 15:14:07
43,Cozumel,20.51,-86.95,87.01,79,40,10.29,MX,2020-09-05 15:14:07
44,Dikson,73.51,80.55,42.12,89,19,16.93,RU,2020-09-05 15:10:09
